bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4
PRJNA345492	SAMN05867922	Pserratus_BDT062	UCE target enrichment of Pserratus_BDT062: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_12_SL107464.fastq	C6RLYANXX_s6_2_RapidGenomics_12_SL107464.fastq		
PRJNA345492	SAMN05867923	Pserratus_BDT063	UCE target enrichment of Pserratus_BDT063: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_82_SL107534.fastq	C6RLYANXX_s6_2_RapidGenomics_82_SL107534.fastq		
PRJNA345492	SAMN05867924	Pserratus_BDT064	UCE target enrichment of Pserratus_BDT064: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_37_SL107489.fastq	C6RLYANXX_s6_2_RapidGenomics_37_SL107489.fastq		
PRJNA345492	SAMN05867925	Pserratus_BDT075	UCE target enrichment of Pserratus_BDT075: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_96_SL107548.fastq	C6RLYANXX_s6_2_RapidGenomics_96_SL107548.fastq		
PRJNA345492	SAMN05867926	Pserratus_BDT076	UCE target enrichment of Pserratus_BDT076: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_67_SL107519.fastq	C6RLYANXX_s6_2_RapidGenomics_67_SL107519.fastq		
PRJNA345492	SAMN05867927	Pserratus_BDT077	UCE target enrichment of Pserratus_BDT077: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_42_SL107494.fastq	C6RLYANXX_s6_2_RapidGenomics_42_SL107494.fastq		
PRJNA345492	SAMN05867928	Pserratus_BDT078	UCE target enrichment of Pserratus_BDT078: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_11_SL107463.fastq	C6RLYANXX_s6_2_RapidGenomics_11_SL107463.fastq		
PRJNA345492	SAMN05867929	Pserratus_BDT079	UCE target enrichment of Pserratus_BDT079: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_7_SL107459.fastq	C6RLYANXX_s6_2_RapidGenomics_7_SL107459.fastq		
PRJNA345492	SAMN05867930	Pserratus_BDT080	UCE target enrichment of Pserratus_BDT080: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_32_SL107484.fastq	C6RLYANXX_s6_2_RapidGenomics_32_SL107484.fastq		
PRJNA345492	SAMN05867931	Pserratus_BDT081	UCE target enrichment of Pserratus_BDT081: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_88_SL107540.fastq	C6RLYANXX_s6_2_RapidGenomics_88_SL107540.fastq		
PRJNA345492	SAMN05867932	Pserratus_BDT082	UCE target enrichment of Pserratus_BDT082: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_40_SL107492.fastq	C6RLYANXX_s6_2_RapidGenomics_40_SL107492.fastq		
PRJNA345492	SAMN05867933	Pserratus_BDT083	UCE target enrichment of Pserratus_BDT083: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_38_SL107490.fastq	C6RLYANXX_s6_2_RapidGenomics_38_SL107490.fastq		
PRJNA345492	SAMN05867934	Pserratus_BDT084	UCE target enrichment of Pserratus_BDT084: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_73_SL107525.fastq	C6RLYANXX_s6_2_RapidGenomics_73_SL107525.fastq		
PRJNA345492	SAMN05867935	Pserratus_BDT085	UCE target enrichment of Pserratus_BDT085: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_15_SL107467.fastq	C6RLYANXX_s6_2_RapidGenomics_15_SL107467.fastq		
PRJNA345492	SAMN05867936	Pserratus_BDT087	UCE target enrichment of Pserratus_BDT087: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_89_SL107541.fastq	C6RLYANXX_s6_2_RapidGenomics_89_SL107541.fastq		
PRJNA345492	SAMN05867937	Pserratus_BDT089	UCE target enrichment of Pserratus_BDT089: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_19_SL107471.fastq	C6RLYANXX_s6_2_RapidGenomics_19_SL107471.fastq		
PRJNA345492	SAMN05867938	Pserratus_BDT092	UCE target enrichment of Pserratus_BDT092: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_87_SL107539.fastq	C6RLYANXX_s6_2_RapidGenomics_87_SL107539.fastq		
PRJNA345492	SAMN05867939	Pserratus_BDT093	UCE target enrichment of Pserratus_BDT093: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_81_SL107533.fastq	C6RLYANXX_s6_2_RapidGenomics_81_SL107533.fastq		
PRJNA345492	SAMN05867940	Pserratus_BDT094	UCE target enrichment of Pserratus_BDT094: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_3_SL107455.fastq	C6RLYANXX_s6_2_RapidGenomics_3_SL107455.fastq		
PRJNA345492	SAMN05867941	Pserratus_BDT095	UCE target enrichment of Pserratus_BDT095: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_21_SL107473.fastq	C6RLYANXX_s6_2_RapidGenomics_21_SL107473.fastq		
PRJNA345492	SAMN05867942	Pserratus_BDT098	UCE target enrichment of Pserratus_BDT098: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_94_SL107546.fastq	C6RLYANXX_s6_2_RapidGenomics_94_SL107546.fastq		
PRJNA345492	SAMN05867943	Pserratus_BDT100	UCE target enrichment of Pserratus_BDT100: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_35_SL107487.fastq	C6RLYANXX_s6_2_RapidGenomics_35_SL107487.fastq		
PRJNA345492	SAMN05867944	Pserratus_BDT101	UCE target enrichment of Pserratus_BDT101: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_44_SL107496.fastq	C6RLYANXX_s6_2_RapidGenomics_44_SL107496.fastq		
PRJNA345492	SAMN05867945	Pserratus_BDT103	UCE target enrichment of Pserratus_BDT103: tail tissue	WGS	GENOMIC	Hybrid Selection	paired	ILLUMINA	Illumina HiSeq 2500	"DNA extracts containing between 0.5 _g and 19 _g (average: 6 _g) of DNA at a concentration between 16 ng/_L and 270 ng/_L (average: 100 ng/_L) were sent to RAPiD Genomics (Gainesville, Florida) for library preparation, sequence capture, and sequencing. Samples were barcoded using standard Illumina TruSeq adapters with a unique 8 bp index for each individual. Our probe set consisted of 2,064 probes targeting 1,745 UCE loci, a subset of the full tetrapods UCE probe set of 5,472 probes (see Faircloth et al. 2012 and http://ultraconserved.org for probe development)."	fastq	C6RLYANXX_s6_1_RapidGenomics_62_SL107514.fastq	C6RLYANXX_s6_2_RapidGenomics_62_SL107514.fastq		
