Accession	Sample Name	Organism	Tax ID	Strain	Breed	Cultivar	Isolate	BioProject id
SAMN05867953	Pserratus_BDT124	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867954	Pserratus_BDT125	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867955	Pserratus_BDT132	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867956	Pserratus_BDT134	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867957	Pserratus_BDT135	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867958	Pserratus_BDT139	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867959	Pserratus_BDT142	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867960	Pserratus_BDT145	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867961	Pserratus_BDT148	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867962	Pserratus_BDT149	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867963	Pserratus_BDT153	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867964	Pserratus_BDT157	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867965	Pserratus_BDT159	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867966	Pserratus_BDT160	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867967	Pserratus_BDT161	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867968	Pserratus_BDT163	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867969	Pserratus_BDT164	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867970	Pserratus_BDT166	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867971	Pserratus_BDT167	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867972	Pserratus_BDT168	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867973	Pserratus_BDT169	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867974	Pserratus_BDT173	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867975	Pserratus_BDT174	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867976	Pserratus_BDT175	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867977	Pserratus_BDT177	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867978	Pserratus_BDT178	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867979	Pserratus_BDT179	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867980	Pserratus_BDT180	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867981	Pserratus_BDT181	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867982	Pserratus_CEN131	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867983	Pserratus_CEN1312	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867984	Pserratus_CEN132	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867985	Pserratus_CEN134	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867986	Pserratus_CEN136	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867987	Pserratus_CEN139	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867988	Pserratus_CEN142	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867989	Pserratus_ENR0165	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867990	Pserratus_FHSM15253	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867991	Pserratus_FHSM15535	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867992	Pserratus_FHSM15547	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867993	Pserratus_FHSM15548	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867994	Pserratus_FHSM15549	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867995	Pserratus_LSUMZ18827	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867996	Pserratus_LSUMZ18828	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867997	Pserratus_LSUMZ21037	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867998	Pserratus_LSUMZ21256	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05867999	Pserratus_LSUMZ2558	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05868000	Pserratus_LSUMZ2568	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05868001	Pserratus_LSUMZ2569	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05868002	Pserratus_MVZ145052	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05868003	Pserratus_MVZ145058	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05868004	Pserratus_MVZ145059	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05868005	Pserratus_OMNH40315	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05868006	Pserratus_OMNH41642	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
SAMN05868007	Pserratus_UAHC14920	Plethodon serratus	154589	Not applicable	Not applicable	Not applicable	Not applicable	345492
